,Month,Year,Price,change
1,Nov,1990,211.85,-
2,Dec,1990,213.87,0.95%
3,Jan,1991,207.51,-2.97%
4,Feb,1991,210.13,1.26%
5,Mar,1991,213.32,1.52%
6,Apr,1991,215.89,1.20%
7,May,1991,210.65,-2.43%
8,Jun,1991,208.86,-0.85%
9,Jul,1991,199.1,-4.67%
10,Aug,1991,208.08,4.51%
11,Sep,1991,216.24,3.92%
12,Oct,1991,205.74,-4.86%
13,Nov,1991,205.67,-0.03%
14,Dec,1991,204.15,-0.74%
15,Jan,1992,208.61,2.18%
16,Feb,1992,211.16,1.22%
17,Mar,1992,216.14,2.36%
18,Apr,1992,211.3,-2.24%
19,May,1992,220.37,4.29%
20,Jun,1992,224.39,1.82%
21,Jul,1992,208.1,-7.26%
22,Aug,1992,202.87,-2.51%
23,Sep,1992,202.89,0.01%
24,Oct,1992,197.68,-2.57%
25,Nov,1992,205.21,3.81%
26,Dec,1992,208.91,1.80%
27,Jan,1993,212.33,1.64%
28,Feb,1993,210.03,-1.08%
29,Mar,1993,214.12,1.95%
30,Apr,1993,217.68,1.66%
31,May,1993,221.49,1.75%
32,Jun,1993,221.91,0.19%
33,Jul,1993,258.84,16.64%
34,Aug,1993,246.64,-4.71%
35,Sep,1993,236.06,-4.29%
36,Oct,1993,226.09,-4.22%
37,Nov,1993,243.93,7.89%
38,Dec,1993,252.52,3.52%
39,Jan,1994,255.6,1.22%
40,Feb,1994,249.68,-2.32%
41,Mar,1994,250.55,0.35%
42,Apr,1994,242.76,-3.11%
43,May,1994,250.23,3.08%
44,Jun,1994,249.61,-0.25%
45,Jul,1994,223.24,-10.56%
46,Aug,1994,214.1,-4.09%
47,Sep,1994,207.88,-2.91%
48,Oct,1994,198.71,-4.41%
49,Nov,1994,205.39,3.36%
50,Dec,1994,206.38,0.48%
51,Jan,1995,202.5,-1.88%
52,Feb,1995,203.65,0.57%
53,Mar,1995,209.35,2.80%
54,Apr,1995,211.27,0.92%
55,May,1995,211.64,0.18%
56,Jun,1995,216.65,2.37%
57,Jul,1995,226.92,4.74%
58,Aug,1995,218.92,-3.53%
59,Sep,1995,232.59,6.24%
60,Oct,1995,240.99,3.61%
61,Nov,1995,249.74,3.63%
62,Dec,1995,263.96,5.69%
63,Jan,1996,270.12,2.33%
64,Feb,1996,268.26,-0.69%
65,Mar,1996,265.78,-0.92%
66,Apr,1996,290.42,9.27%
67,May,1996,295.52,1.76%
68,Jun,1996,284.61,-3.69%
69,Jul,1996,288.77,1.46%
70,Aug,1996,296.3,2.61%
71,Sep,1996,297.49,0.40%
72,Oct,1996,259.8,-12.67%
73,Nov,1996,255.28,-1.74%
74,Dec,1996,257.16,0.74%
75,Jan,1997,268.1,4.25%
76,Feb,1997,280.54,4.64%
77,Mar,1997,305.88,9.03%
78,Apr,1997,313.36,2.45%
79,May,1997,319.84,2.07%
80,Jun,1997,304.77,-4.71%
81,Jul,1997,281.16,-7.75%
82,Aug,1997,267.59,-4.83%
83,Sep,1997,255.21,-4.63%
84,Oct,1997,250.75,-1.75%
85,Nov,1997,265.43,5.85%
86,Dec,1997,254.59,-4.08%
87,Jan,1998,246,-3.37%
88,Feb,1998,247.42,0.58%
89,Mar,1998,240.12,-2.95%
90,Apr,1998,235.09,-2.09%
91,May,1998,236.15,0.45%
92,Jun,1998,231.12,-2.13%
93,Jul,1998,232.43,0.57%
94,Aug,1998,202.25,-12.98%
95,Sep,1998,193.34,-4.41%
96,Oct,1998,200.76,3.84%
97,Nov,1998,209.9,4.55%
98,Dec,1998,204.91,-2.38%
99,Jan,1999,195.04,-4.82%
100,Feb,1999,179.67,-7.88%
101,Mar,1999,175.06,-2.57%
102,Apr,1999,177.54,1.42%
103,May,1999,171.45,-3.43%
104,Jun,1999,170,-0.85%
105,Jul,1999,158.31,-6.88%
106,Aug,1999,172,8.65%
107,Sep,1999,180.64,5.02%
108,Oct,1999,178.18,-1.36%
109,Nov,1999,171.2,-3.92%
110,Dec,1999,169.96,-0.72%
111,Jan,2000,180.38,6.13%
112,Feb,2000,185.76,2.98%
113,Mar,2000,190.97,2.80%
114,Apr,2000,197.1,3.21%
115,May,2000,200.87,1.91%
116,Jun,2000,186.95,-6.93%
117,Jul,2000,169.5,-9.33%
118,Aug,2000,167.87,-0.96%
119,Sep,2000,180.45,7.49%
120,Oct,2000,173.61,-3.79%
121,Nov,2000,177.19,2.06%
122,Dec,2000,185.96,4.95%
123,Jan,2001,175.42,-5.67%
124,Feb,2001,167.45,-4.54%
125,Mar,2001,164.38,-1.83%
126,Apr,2001,158.61,-3.51%
127,May,2001,163.87,3.32%
128,Jun,2001,170.23,3.88%
129,Jul,2001,186.65,9.65%
130,Aug,2001,182.75,-2.09%
131,Sep,2001,172.35,-5.69%
132,Oct,2001,160.63,-6.80%
133,Nov,2001,162.56,1.20%
134,Dec,2001,160.15,-1.48%
135,Jan,2002,160.06,-0.06%
136,Feb,2002,160.2,0.09%
137,Mar,2002,168.69,5.30%
138,Apr,2002,171.36,1.58%
139,May,2002,176.64,3.08%
140,Jun,2002,185.37,4.94%
141,Jul,2002,209.09,12.80%
142,Aug,2002,208.22,-0.42%
143,Sep,2002,208.22,0.00%
144,Oct,2002,200.09,-3.90%
145,Nov,2002,210.22,5.06%
146,Dec,2002,208.24,-0.94%
147,Jan,2003,208.68,0.21%
148,Feb,2003,209.64,0.46%
149,Mar,2003,210.24,0.29%
150,Apr,2003,221.72,5.46%
151,May,2003,232.43,4.83%
152,Jun,2003,229.81,-1.13%
153,Jul,2003,214.05,-6.86%
154,Aug,2003,208.24,-2.71%
155,Sep,2003,231.72,11.28%
156,Oct,2003,269.01,16.09%
157,Nov,2003,279.74,3.99%
158,Dec,2003,283.21,1.24%
159,Jan,2004,300.94,6.26%
160,Feb,2004,316.58,5.20%
161,Mar,2004,360.72,13.94%
162,Apr,2004,363.55,0.78%
163,May,2004,347.91,-4.30%
164,Jun,2004,320.69,-7.82%
165,Jul,2004,289.82,-9.63%
166,Aug,2004,225.81,-22.09%
167,Sep,2004,206.47,-8.56%
168,Oct,2004,193.45,-6.31%
169,Nov,2004,195.84,1.24%
170,Dec,2004,198.62,1.42%
171,Jan,2005,195.66,-1.49%
172,Feb,2005,197.59,0.99%
173,Mar,2005,233.18,18.01%
174,Apr,2005,228.76,-1.90%
175,May,2005,233.46,2.05%
176,Jun,2005,254.74,9.12%
177,Jul,2005,253.35,-0.55%
178,Aug,2005,230.43,-9.05%
179,Sep,2005,212.02,-7.99%
180,Oct,2005,211.17,-0.40%
181,Nov,2005,210.7,-0.22%
182,Dec,2005,216.54,2.77%
183,Jan,2006,214.01,-1.17%
184,Feb,2006,214.37,0.17%
185,Mar,2006,212.71,-0.77%
186,Apr,2006,208.9,-1.79%
187,May,2006,217.36,4.05%
188,Jun,2006,216.5,-0.40%
189,Jul,2006,217.25,0.35%
190,Aug,2006,203.84,-6.17%
191,Sep,2006,199.31,-2.22%
192,Oct,2006,217.89,9.32%
193,Nov,2006,244,11.98%
194,Dec,2006,243.31,-0.28%
195,Jan,2007,255.87,5.16%
196,Feb,2007,278.04,8.66%
197,Mar,2007,276.96,-0.39%
198,Apr,2007,270.39,-2.37%
199,May,2007,283.21,4.74%
200,Jun,2007,302.83,6.93%
201,Jul,2007,313.48,3.52%
202,Aug,2007,309.01,-1.43%
203,Sep,2007,347.56,12.48%
204,Oct,2007,358.4,3.12%
205,Nov,2007,389.02,8.54%
206,Dec,2007,423.08,8.76%
207,Jan,2008,461.72,9.13%
208,Feb,2008,508.22,10.07%
209,Mar,2008,495.69,-2.47%
210,Apr,2008,482.79,-2.60%
211,May,2008,489.09,1.30%
212,Jun,2008,552.47,12.96%
213,Jul,2008,554.15,0.30%
214,Aug,2008,471.07,-14.99%
215,Sep,2008,437.84,-7.05%
216,Oct,2008,338.78,-22.62%
217,Nov,2008,329.14,-2.85%
218,Dec,2008,318.81,-3.14%
219,Jan,2009,364.72,14.40%
220,Feb,2009,341.27,-6.43%
221,Mar,2009,333.66,-2.23%
222,Apr,2009,374.47,12.23%
223,May,2009,422.28,12.77%
224,Jun,2009,445.15,5.42%
225,Jul,2009,398.16,-10.56%
226,Aug,2009,408.96,2.71%
227,Sep,2009,349.05,-14.65%
228,Oct,2009,354.86,1.66%
229,Nov,2009,370.71,4.47%
230,Dec,2009,379.3,2.32%
231,Jan,2010,358.97,-5.36%
232,Feb,2010,344.66,-3.99%
233,Mar,2010,348.95,1.24%
234,Apr,2010,357.65,2.49%
235,May,2010,349.06,-2.40%
236,Jun,2010,348.51,-0.16%
237,Jul,2010,370.98,6.45%
238,Aug,2010,379.46,2.29%
239,Sep,2010,390.23,2.84%
240,Oct,2010,427.18,9.47%
241,Nov,2010,459.96,7.67%
242,Dec,2010,483.76,5.17%
243,Jan,2011,511.1,5.65%
244,Feb,2011,512.05,0.19%
245,Mar,2011,498.74,-2.60%
246,Apr,2011,501.47,0.55%
247,May,2011,498.77,-0.54%
248,Jun,2011,499.77,0.20%
249,Jul,2011,501.83,0.41%
250,Aug,2011,501.42,-0.08%
251,Sep,2011,490.91,-2.10%
252,Oct,2011,446.02,-9.14%
253,Nov,2011,428.83,-3.85%
254,Dec,2011,420.05,-2.05%
255,Jan,2012,441.73,5.16%
256,Feb,2012,461.56,4.49%
257,Mar,2012,496.29,7.52%
258,Apr,2012,529.42,6.68%
259,May,2012,520.93,-1.60%
260,Jun,2012,522.33,0.27%
261,Jul,2012,609.45,16.68%
262,Aug,2012,622.91,2.21%
263,Sep,2012,615.18,-1.24%
264,Oct,2012,565.53,-8.07%
265,Nov,2012,533.03,-5.75%
266,Dec,2012,534.79,0.33%
267,Jan,2013,526.05,-1.63%
268,Feb,2013,536.38,1.96%
269,Mar,2013,536.08,-0.06%
270,Apr,2013,517.79,-3.41%
271,May,2013,542.2,4.71%
272,Jun,2013,560.16,3.31%
273,Jul,2013,548.35,-2.11%
274,Aug,2013,498.05,-9.17%
275,Sep,2013,503.24,1.04%
276,Oct,2013,472.83,-6.04%
277,Nov,2013,476.66,0.81%
278,Dec,2013,488.67,2.52%
279,Jan,2014,476.1,-2.57%
280,Feb,2014,496.8,4.35%
281,Mar,2014,522,5.07%
282,Apr,2014,547.19,4.83%
283,May,2014,546.03,-0.21%
284,Jun,2014,528,-3.30%
285,Jul,2014,463.23,-12.27%
286,Aug,2014,432.99,-6.53%
287,Sep,2014,368.85,-14.81%
288,Oct,2014,354.44,-3.91%
289,Nov,2014,379.34,7.03%
290,Dec,2014,378.78,-0.15%
291,Jan,2015,367.49,-2.98%
292,Feb,2015,364.74,-0.75%
293,Mar,2015,359.6,-1.41%
294,Apr,2015,356.93,-0.74%
295,May,2015,351.95,-1.40%
296,Jun,2015,354.82,0.82%
297,Jul,2015,372.35,4.94%
298,Aug,2015,347.02,-6.80%
299,Sep,2015,323.55,-6.76%
300,Oct,2015,327.42,1.20%
