Sorghum - Monthly Price,,
Month,Price,Change
Nov-90,98.16,-
Dec-90,100.97,2.86%
Jan-91,105.07,4.06%
Feb-91,106.37,1.24%
Mar-91,109.9,3.32%
Apr-91,109.02,-0.80%
May-91,101.99,-6.45%
Jun-91,98,-3.91%
Jul-91,99.43,1.46%
Aug-91,105.47,6.07%
Sep-91,106.21,0.70%
Oct-91,107.01,0.75%
Nov-91,105.45,-1.46%
Dec-91,107.42,1.87%
Jan-92,111.64,3.93%
Feb-92,116.73,4.56%
Mar-92,120.15,2.93%
Apr-92,109.35,-8.99%
May-92,108.03,-1.21%
Jun-92,104.66,-3.12%
Jul-92,95.86,-8.41%
Aug-92,93.7,-2.25%
Sep-92,93.75,0.05%
Oct-92,91.01,-2.92%
Nov-92,92.37,1.49%
Dec-92,95.75,3.66%
Jan-93,95.18,-0.60%
Feb-93,94.47,-0.75%
Mar-93,95.4,0.98%
Apr-93,95.06,-0.36%
May-93,93.15,-2.01%
Jun-93,88.52,-4.97%
Jul-93,96.17,8.64%
Aug-93,98.49,2.41%
Sep-93,97.22,-1.29%
Oct-93,100.92,3.81%
Nov-93,113.81,12.77%
Dec-93,119.93,5.38%
Jan-94,121.92,1.66%
Feb-94,119.21,-2.22%
Mar-94,114.33,-4.09%
Apr-94,107.75,-5.76%
May-94,106.21,-1.43%
Jun-94,105.73,-0.45%
Jul-94,93.75,-11.33%
Aug-94,95.02,1.35%
Sep-94,91.78,-3.41%
Oct-94,92.37,0.64%
Nov-94,97.74,5.81%
Dec-94,100.62,2.95%
Jan-95,101.74,1.11%
Feb-95,102.07,0.32%
Mar-95,102.74,0.66%
Apr-95,103.29,0.54%
May-95,108.06,4.62%
Jun-95,112.83,4.41%
Jul-95,119.1,5.56%
Aug-95,118.7,-0.34%
Sep-95,127.26,7.21%
Oct-95,137.07,7.71%
Nov-95,141.8,3.45%
Dec-95,153,7.90%
Jan-96,154.3,0.85%
Feb-96,159.81,3.57%
Mar-96,165.84,3.77%
Apr-96,188.66,13.76%
May-96,185.76,-1.54%
Jun-96,174.88,-5.86%
Jul-96,163.64,-6.43%
Aug-96,152.47,-6.83%
Sep-96,130.35,-14.51%
Oct-96,113.32,-13.06%
Nov-96,105.55,-6.86%
Dec-96,105.77,0.21%
Jan-97,105.65,-0.11%
Feb-97,111.22,5.27%
Mar-97,119.66,7.59%
Apr-97,118,-1.39%
May-97,114.2,-3.22%
Jun-97,104.28,-8.69%
Jul-97,96.21,-7.74%
Aug-97,104.06,8.16%
Sep-97,106.79,2.62%
Oct-97,112.83,5.66%
Nov-97,112.33,-0.44%
Dec-97,110.23,-1.87%
Jan-98,111.44,1.10%
Feb-98,111.73,0.26%
Mar-98,110.47,-1.13%
Apr-98,103.9,-5.95%
May-98,100.81,-2.97%
Jun-98,96.51,-4.27%
Jul-98,95.44,-1.11%
Aug-98,91,-4.65%
Sep-98,85.04,-6.55%
Oct-98,87.7,3.13%
Nov-98,92.21,5.14%
Dec-98,90.2,-2.18%
Jan-99,91.13,1.03%
Feb-99,90.09,-1.14%
Mar-99,91.41,1.47%
Apr-99,89.53,-2.06%
May-99,87.19,-2.61%
Jun-99,85.98,-1.39%
Jul-99,76.88,-10.58%
Aug-99,81.63,6.18%
Sep-99,80.03,-1.96%
Oct-99,78.43,-2.00%
Nov-99,79.37,1.20%
Dec-99,81,2.05%
Jan-00,89.34,10.30%
Feb-00,89.89,0.62%
Mar-00,91.73,2.05%
Apr-00,90.58,-1.25%
May-00,95.02,4.90%
Jun-00,79.76,-16.06%
Jul-00,73.72,-7.57%
Aug-00,76.81,4.19%
Sep-00,82.7,7.67%
Oct-00,89.92,8.73%
Nov-00,96.12,6.90%
Dec-00,100.45,4.50%
Jan-01,101.08,0.63%
Feb-01,97.69,-3.35%
Mar-01,95.6,-2.14%
Apr-01,94.3,-1.36%
May-01,94.84,0.57%
Jun-01,89.54,-5.59%
Jul-01,94.47,5.51%
Aug-01,95.13,0.70%
Sep-01,94.63,-0.53%
Oct-01,94.96,0.35%
Nov-01,94.69,-0.28%
Dec-01,95.87,1.25%
Jan-02,95.42,-0.47%
Feb-02,92.87,-2.67%
Mar-02,91.66,-1.30%
Apr-02,88.9,-3.01%
May-02,89.84,1.06%
Jun-02,88.74,-1.22%
Jul-02,100.81,13.60%
Aug-02,113.78,12.87%
Sep-02,117.01,2.84%
Oct-02,113.56,-2.95%
Nov-02,115.05,1.31%
Dec-02,113.26,-1.56%
Jan-03,110.78,-2.19%
Feb-03,109.21,-1.42%
Mar-03,106.79,-2.22%
Apr-03,106.81,0.03%
May-03,104.96,-1.73%
Jun-03,97.58,-7.03%
Jul-03,89.77,-8.00%
Aug-03,104.09,15.94%
Sep-03,109.13,4.85%
Oct-03,108.27,-0.79%
Nov-03,114.23,5.50%
Dec-03,116.8,2.25%
Jan-04,121.67,4.17%
Feb-04,126.19,3.71%
Mar-04,130.17,3.16%
Apr-04,128.6,-1.21%
May-04,118.55,-7.81%
Jun-04,115.85,-2.28%
Jul-04,96.73,-16.51%
Aug-04,103.07,6.55%
Sep-04,99.67,-3.29%
Oct-04,93.78,-5.91%
Nov-04,92.35,-1.53%
Dec-04,90.69,-1.79%
Jan-05,89.98,-0.79%
Feb-05,92.29,2.57%
Mar-05,96.43,4.48%
Apr-05,93.01,-3.55%
May-05,96.23,3.47%
Jun-05,97.07,0.87%
Jul-05,105.6,8.79%
Aug-05,100.09,-5.22%
Sep-05,97.37,-2.72%
Oct-05,97.39,0.02%
Nov-05,92.57,-4.95%
Dec-05,96.56,4.32%
Jan-06,100.64,4.22%
Feb-06,106.07,5.39%
Mar-06,103.66,-2.27%
Apr-06,109.35,5.49%
May-06,113.76,4.03%
Jun-06,111.88,-1.65%
Jul-06,119.99,7.24%
Aug-06,114.44,-4.62%
Sep-06,119.55,4.46%
Oct-06,138.23,15.63%
Nov-06,167.09,20.88%
Dec-06,170.61,2.11%
Jan-07,175.05,2.60%
Feb-07,180.64,3.19%
Mar-07,169.96,-5.91%
Apr-07,149.52,-12.03%
May-07,150.01,0.33%
Jun-07,154.79,3.18%
Jul-07,138.47,-10.54%
Aug-07,150.28,8.53%
Sep-07,163.31,8.66%
Oct-07,163.19,-0.07%
Nov-07,170.1,4.23%
Dec-07,187.01,9.94%
Jan-08,212.67,13.72%
Feb-08,218.5,2.74%
Mar-08,224.93,2.95%
Apr-08,240.28,6.82%
May-08,238.24,-0.85%
Jun-08,262.19,10.05%
Jul-08,218.82,-16.54%
Aug-08,209.34,-4.33%
Sep-08,216.01,3.19%
Oct-08,163.63,-24.25%
Nov-08,150.75,-7.87%
Dec-08,138.6,-8.06%
Jan-09,153.26,10.57%
Feb-09,144.13,-5.96%
Mar-09,138.59,-3.84%
Apr-09,154.14,11.22%
May-09,160.08,3.85%
Jun-09,153.04,-4.40%
Jul-09,133.8,-12.57%
Aug-09,142.37,6.41%
Sep-09,141.83,-0.38%
Oct-09,159.05,12.14%
Nov-09,166.01,4.38%
Dec-09,166.35,0.20%
Jan-10,161.79,-2.74%
Feb-10,154.06,-4.78%
Mar-10,154.7,0.42%
Apr-10,149.41,-3.42%
May-10,147.35,-1.38%
Jun-10,130.98,-11.11%
Jul-10,132.4,1.09%
Aug-10,143.4,8.30%
Sep-10,184.9,28.95%
Oct-10,201.04,8.73%
Nov-10,203.25,1.10%
Dec-10,221.57,9.01%
Jan-11,246.32,11.17%
Feb-11,253.15,2.77%
Mar-11,266.14,5.13%
Apr-11,289.61,8.82%
May-11,261.32,-9.77%
Jun-11,260.43,-0.34%
Jul-11,271.17,4.12%
Aug-11,302.53,11.56%
Sep-11,288.81,-4.54%
Oct-11,263.67,-8.70%
Nov-11,265.44,0.67%
Dec-11,256.4,-3.41%
Jan-12,265.66,3.61%
Feb-12,269.18,1.33%
Mar-12,274.03,1.80%
Apr-12,254.85,-7.00%
May-12,216.71,-14.97%
Oct-12,283.07,30.62%
Nov-12,289.03,2.10%
Dec-12,283.96,-1.75%
Jan-13,291.01,2.48%
Feb-13,288.14,-0.98%
Mar-13,296.74,2.98%
Apr-13,269.18,-9.29%
May-13,273.59,1.64%
Jun-13,236.78,-13.46%
Jul-13,220.02,-7.08%
Aug-13,220.62,0.27%
Sep-13,216.93,-1.67%
Oct-13,205.25,-5.39%
Nov-13,195.23,-4.88%
Dec-13,205.9,5.46%
Jan-14,215.73,4.77%
Feb-14,223.81,3.75%
Mar-14,233,4.10%
Apr-14,232.04,-0.41%
May-14,221.01,-4.75%
Jun-14,204.7,-7.38%
Jul-14,193.01,-5.71%
Aug-14,185.44,-3.92%
Sep-14,174.3,-6.01%
Oct-14,187.82,7.75%
Nov-14,199.56,6.26%
Dec-14,215.62,8.05%
Jan-15,229.62,6.49%
Feb-15,235.96,2.76%
Mar-15,246.64,4.53%
Apr-15,246.64,0.00%
May-15,246.64,0.00%
Jun-15,212.96,-13.65%
Jul-15,212.96,0.00%
Aug-15,212.96,0.00%
Sep-15,178.06,-16.39%
Oct-15,181.21,1.77%